Interval Beginning (EST),kWh
5/2/2022 0:00,38.34
5/2/2022 0:15,38.52
5/2/2022 0:30,38.16
5/2/2022 0:45,38.16
5/2/2022 1:00,37.8
5/2/2022 1:15,37.62
5/2/2022 1:30,38.88
5/2/2022 1:45,37.8
5/2/2022 2:00,37.98
5/2/2022 2:15,38.34
5/2/2022 2:30,37.8
5/2/2022 2:45,37.26
5/2/2022 3:00,37.08
5/2/2022 3:15,37.44
5/2/2022 3:30,38.34
5/2/2022 3:45,36.9
5/2/2022 4:00,36.72
5/2/2022 4:15,40.5
5/2/2022 4:30,43.02
5/2/2022 4:45,42.48
5/2/2022 5:00,43.74
5/2/2022 5:15,43.56
5/2/2022 5:30,41.76
5/2/2022 5:45,38.16
5/2/2022 6:00,41.4
5/2/2022 6:15,41.58
5/2/2022 6:30,45.36
5/2/2022 6:45,46.44
5/2/2022 7:00,61.38
5/2/2022 7:15,61.02
5/2/2022 7:30,60.48
5/2/2022 7:45,58.14
5/2/2022 8:00,61.02
5/2/2022 8:15,61.56
5/2/2022 8:30,66.42
5/2/2022 8:45,67.68
5/2/2022 9:00,68.58
5/2/2022 9:15,69.3
5/2/2022 9:30,70.38
5/2/2022 9:45,67.32
5/2/2022 10:00,68.94
5/2/2022 10:15,70.2
5/2/2022 10:30,75.6
5/2/2022 10:45,75.06
5/2/2022 11:00,77.22
5/2/2022 11:15,74.16
5/2/2022 11:30,75.42
5/2/2022 11:45,71.46
5/2/2022 12:00,73.44
5/2/2022 12:15,76.5
5/2/2022 12:30,80.28
5/2/2022 12:45,82.62
5/2/2022 13:00,78.84
5/2/2022 13:15,78.12
5/2/2022 13:30,81.18
5/2/2022 13:45,80.64
5/2/2022 14:00,75.24
5/2/2022 14:15,68.94
5/2/2022 14:30,68.04
5/2/2022 14:45,69.84
5/2/2022 15:00,68.76
5/2/2022 15:15,68.94
5/2/2022 15:30,65.16
5/2/2022 15:45,64.98
5/2/2022 16:00,65.7
5/2/2022 16:15,66.06
5/2/2022 16:30,70.38
5/2/2022 16:45,70.56
5/2/2022 17:00,67.32
5/2/2022 17:15,67.5
5/2/2022 17:30,67.68
5/2/2022 17:45,67.14
5/2/2022 18:00,70.38
5/2/2022 18:15,71.28
5/2/2022 18:30,71.46
5/2/2022 18:45,66.42
5/2/2022 19:00,72.36
5/2/2022 19:15,76.14
5/2/2022 19:30,73.8
5/2/2022 19:45,72
5/2/2022 20:00,73.26
5/2/2022 20:15,71.64
5/2/2022 20:30,71.28
5/2/2022 20:45,69.66
5/2/2022 21:00,65.34
5/2/2022 21:15,67.86
5/2/2022 21:30,68.22
5/2/2022 21:45,69.12
5/2/2022 22:00,51.48
5/2/2022 22:15,46.98
5/2/2022 22:30,41.22
5/2/2022 22:45,40.5
5/2/2022 23:00,39.6
5/2/2022 23:15,39.6
5/2/2022 23:30,35.1
5/2/2022 23:45,36.18
5/3/2022 0:00,36.18
5/3/2022 0:15,35.28
5/3/2022 0:30,35.64
5/3/2022 0:45,34.92
5/3/2022 1:00,35.28
5/3/2022 1:15,35.1
5/3/2022 1:30,36.18
5/3/2022 1:45,34.56
5/3/2022 2:00,34.92
5/3/2022 2:15,35.1
5/3/2022 2:30,34.74
5/3/2022 2:45,34.56
5/3/2022 3:00,34.2
5/3/2022 3:15,34.92
5/3/2022 3:30,35.1
5/3/2022 3:45,34.02
5/3/2022 4:00,34.02
5/3/2022 4:15,37.08
5/3/2022 4:30,38.52
5/3/2022 4:45,38.16
