Interval Beginning (EST),kWh
5/2/2022 0:00,72
5/2/2022 0:15,72
5/2/2022 0:30,72
5/2/2022 0:45,75.6
5/2/2022 1:00,72
5/2/2022 1:15,72
5/2/2022 1:30,75.6
5/2/2022 1:45,72
5/2/2022 2:00,72
5/2/2022 2:15,75.6
5/2/2022 2:30,72
5/2/2022 2:45,72
5/2/2022 3:00,118.8
5/2/2022 3:15,115.2
5/2/2022 3:30,111.6
5/2/2022 3:45,111.6
5/2/2022 4:00,136.8
5/2/2022 4:15,118.8
5/2/2022 4:30,118.8
5/2/2022 4:45,126
5/2/2022 5:00,151.2
5/2/2022 5:15,111.6
5/2/2022 5:30,136.8
5/2/2022 5:45,136.8
5/2/2022 6:00,133.2
5/2/2022 6:15,172.8
5/2/2022 6:30,496.8
5/2/2022 6:45,522
5/2/2022 7:00,561.6
5/2/2022 7:15,594
5/2/2022 7:30,550.8
5/2/2022 7:45,568.8
5/2/2022 8:00,572.4
5/2/2022 8:15,604.8
5/2/2022 8:30,576
5/2/2022 8:45,583.2
5/2/2022 9:00,630
5/2/2022 9:15,705.6
5/2/2022 9:30,705.6
5/2/2022 9:45,691.2
5/2/2022 10:00,712.8
5/2/2022 10:15,716.4
5/2/2022 10:30,698.4
5/2/2022 10:45,698.4
5/2/2022 11:00,716.4
5/2/2022 11:15,964.8
5/2/2022 11:30,964.8
5/2/2022 11:45,972
5/2/2022 12:00,979.2
5/2/2022 12:15,1015.2
5/2/2022 12:30,1094.4
5/2/2022 12:45,1184.4
5/2/2022 13:00,1227.6
5/2/2022 13:15,1209.6
5/2/2022 13:30,1198.8
5/2/2022 13:45,1234.8
5/2/2022 14:00,1224
5/2/2022 14:15,1220.4
5/2/2022 14:30,1227.6
5/2/2022 14:45,1260
5/2/2022 15:00,1209.6
5/2/2022 15:15,1206
5/2/2022 15:30,1209.6
5/2/2022 15:45,1206
5/2/2022 16:00,1234.8
5/2/2022 16:15,1260
5/2/2022 16:30,1234.8
5/2/2022 16:45,1252.8
5/2/2022 17:00,1198.8
5/2/2022 17:15,1162.8
5/2/2022 17:30,1198.8
5/2/2022 17:45,1195.2
5/2/2022 18:00,1152
5/2/2022 18:15,1159.2
5/2/2022 18:30,1206
5/2/2022 18:45,1198.8
5/2/2022 19:00,1166.4
5/2/2022 19:15,1166.4
5/2/2022 19:30,1231.2
5/2/2022 19:45,1188
5/2/2022 20:00,1184.4
5/2/2022 20:15,1227.6
5/2/2022 20:30,1227.6
5/2/2022 20:45,1170
5/2/2022 21:00,1188
5/2/2022 21:15,1220.4
5/2/2022 21:30,1188
5/2/2022 21:45,1198.8
5/2/2022 22:00,1209.6
5/2/2022 22:15,1180.8
5/2/2022 22:30,1195.2
5/2/2022 22:45,1209.6
5/2/2022 23:00,1198.8
5/2/2022 23:15,1180.8
5/2/2022 23:30,1206
5/2/2022 23:45,1216.8
5/3/2022 0:00,1180.8
5/3/2022 0:15,1213.2
5/3/2022 0:30,1216.8
5/3/2022 0:45,1191.6
5/3/2022 1:00,1188
5/3/2022 1:15,1224
5/3/2022 1:30,1170
5/3/2022 1:45,1173.6
5/3/2022 2:00,1231.2
5/3/2022 2:15,1216.8
5/3/2022 2:30,1166.4
5/3/2022 2:45,1116
5/3/2022 3:00,1216.8
5/3/2022 3:15,1249.2
5/3/2022 3:30,1170
5/3/2022 3:45,1206
5/3/2022 4:00,1234.8
5/3/2022 4:15,1216.8
5/3/2022 4:30,1188
5/3/2022 4:45,1220.4
5/3/2022 5:00,1195.2
5/3/2022 5:15,1202.4
5/3/2022 5:30,1231.2
5/3/2022 5:45,1184.4
5/3/2022 6:00,1173.6
5/3/2022 6:15,1206
5/3/2022 6:30,1227.6
5/3/2022 6:45,1213.2
5/3/2022 7:00,1198.8
5/3/2022 7:15,1220.4
5/3/2022 7:30,1220.4
5/3/2022 7:45,1173.6
5/3/2022 8:00,1119.6
5/3/2022 8:15,1083.6
5/3/2022 8:30,1162.8
5/3/2022 8:45,1224
5/3/2022 9:00,1202.4
5/3/2022 9:15,1220.4
5/3/2022 9:30,1195.2
5/3/2022 9:45,1220.4
5/3/2022 10:00,1245.6
5/3/2022 10:15,1231.2
5/3/2022 10:30,1180.8
5/3/2022 10:45,1220.4
5/3/2022 11:00,1216.8
5/3/2022 11:15,1198.8
5/3/2022 11:30,1191.6
5/3/2022 11:45,1155.6
5/3/2022 12:00,1177.2
5/3/2022 12:15,1209.6
5/3/2022 12:30,1162.8
5/3/2022 12:45,1162.8
5/3/2022 13:00,1213.2
5/3/2022 13:15,1234.8
5/3/2022 13:30,1173.6
5/3/2022 13:45,1130.4
5/3/2022 14:00,1036.8
5/3/2022 14:15,1144.8
5/3/2022 14:30,1198.8
5/3/2022 14:45,1202.4
5/3/2022 15:00,1184.4
5/3/2022 15:15,1188
5/3/2022 15:30,1216.8
5/3/2022 15:45,1209.6
5/3/2022 16:00,1098
5/3/2022 16:15,1166.4
5/3/2022 16:30,1216.8
5/3/2022 16:45,1195.2
5/3/2022 17:00,1159.2
5/3/2022 17:15,1209.6
5/3/2022 17:30,1216.8
5/3/2022 17:45,1162.8
5/3/2022 18:00,1206
5/3/2022 18:15,1191.6
5/3/2022 18:30,1206
5/3/2022 18:45,1198.8
5/3/2022 19:00,1209.6
5/3/2022 19:15,1202.4
5/3/2022 19:30,1245.6
5/3/2022 19:45,1242
5/3/2022 20:00,1216.8
5/3/2022 20:15,1220.4
5/3/2022 20:30,1220.4
5/3/2022 20:45,1227.6
5/3/2022 21:00,1224
5/3/2022 21:15,1198.8
5/3/2022 21:30,1242
5/3/2022 21:45,1191.6
5/3/2022 22:00,1238.4
5/3/2022 22:15,1206
5/3/2022 22:30,1245.6
5/3/2022 22:45,1209.6
5/3/2022 23:00,1220.4
5/3/2022 23:15,1224
5/3/2022 23:30,1227.6
5/3/2022 23:45,1220.4
5/4/2022 0:00,1198.8
5/4/2022 0:15,1263.6
5/4/2022 0:30,1213.2
5/4/2022 0:45,1213.2
5/4/2022 1:00,1252.8
5/4/2022 1:15,1260
5/4/2022 1:30,1213.2
5/4/2022 1:45,1227.6
5/4/2022 2:00,1238.4
5/4/2022 2:15,1220.4
5/4/2022 2:30,1227.6
5/4/2022 2:45,1130.4
5/4/2022 3:00,1195.2
5/4/2022 3:15,1238.4
5/4/2022 3:30,1231.2
5/4/2022 3:45,1206
5/4/2022 4:00,1270.8
5/4/2022 4:15,1216.8
5/4/2022 4:30,1213.2
5/4/2022 4:45,1270.8
5/4/2022 5:00,1256.4
5/4/2022 5:15,1224
5/4/2022 5:30,1242
5/4/2022 5:45,1242
5/4/2022 6:00,1220.4
5/4/2022 6:15,1209.6
5/4/2022 6:30,1206
5/4/2022 6:45,1090.8
5/4/2022 7:00,1083.6
5/4/2022 7:15,1044
5/4/2022 7:30,1116
5/4/2022 7:45,1119.6
5/4/2022 8:00,1177.2
5/4/2022 8:15,1227.6
5/4/2022 8:30,1245.6
5/4/2022 8:45,1267.2
5/4/2022 9:00,1260
5/4/2022 9:15,1245.6
5/4/2022 9:30,1267.2
5/4/2022 9:45,1252.8
5/4/2022 10:00,1252.8
5/4/2022 10:15,1249.2
5/4/2022 10:30,1213.2
5/4/2022 10:45,1249.2
5/4/2022 11:00,1252.8
5/4/2022 11:15,1270.8
5/4/2022 11:30,1252.8
5/4/2022 11:45,1198.8
5/4/2022 12:00,1220.4
5/4/2022 12:15,1238.4
5/4/2022 12:30,1209.6
5/4/2022 12:45,1177.2
5/4/2022 13:00,1069.2
5/4/2022 13:15,1137.6
5/4/2022 13:30,1177.2
5/4/2022 13:45,1231.2
5/4/2022 14:00,1245.6
5/4/2022 14:15,1224
5/4/2022 14:30,1238.4
5/4/2022 14:45,1252.8
5/4/2022 15:00,1231.2
5/4/2022 15:15,1224
5/4/2022 15:30,1263.6
5/4/2022 15:45,1263.6
