Interval Beginning (EST),kWh
5/11/2022 0:00,2345.4
5/11/2022 0:15,2341.32
5/11/2022 0:30,2335.8
5/11/2022 0:45,2321.4
5/11/2022 1:00,2333.88
5/11/2022 1:15,2327.76
5/11/2022 1:30,2330.28
5/11/2022 1:45,2312.52
5/11/2022 2:00,2311.44
5/11/2022 2:15,2314.68
5/11/2022 2:30,2310
5/11/2022 2:45,2304.84
5/11/2022 3:00,2311.2
5/11/2022 3:15,2303.52
5/11/2022 3:30,2279.88
5/11/2022 3:45,2260.08
5/11/2022 4:00,2267.52
5/11/2022 4:15,2260.68
5/11/2022 4:30,2267.04
5/11/2022 4:45,2281.2
5/11/2022 5:00,2282.04
5/11/2022 5:15,2287.56
5/11/2022 5:30,2299.32
5/11/2022 5:45,2311.08
5/11/2022 6:00,2318.64
5/11/2022 6:15,2328
5/11/2022 6:30,2350.44
5/11/2022 6:45,2371.56
5/11/2022 7:00,2388.72
5/11/2022 7:15,2440.44
5/11/2022 7:30,2434.68
5/11/2022 7:45,2460.96
5/11/2022 8:00,2683.56
5/11/2022 8:15,2713.08
5/11/2022 8:30,2824.8
5/11/2022 8:45,2856.72
5/11/2022 9:00,2854.8
5/11/2022 9:15,2852.88
5/11/2022 9:30,2849.28
5/11/2022 9:45,2847.96
5/11/2022 10:00,2844.96
5/11/2022 10:15,2832.24
5/11/2022 10:30,2813.04
5/11/2022 10:45,2553.6
5/11/2022 11:00,2401.92
5/11/2022 11:15,2465.52
5/11/2022 11:30,2463.12
5/11/2022 11:45,2466.36
5/11/2022 12:00,2476.68
5/11/2022 12:15,2485.2
5/11/2022 12:30,2485.44
5/11/2022 12:45,2474.88
5/11/2022 13:00,2478.72
5/11/2022 13:15,2479.32
5/11/2022 13:30,2489.64
5/11/2022 13:45,2486.04
5/11/2022 14:00,2471.52
5/11/2022 14:15,2490.24
5/11/2022 14:30,2499.24
5/11/2022 14:45,2481.36
5/11/2022 15:00,2465.28
5/11/2022 15:15,2480.28
5/11/2022 15:30,2439
5/11/2022 15:45,2429.4
5/11/2022 16:00,2452.2
5/11/2022 16:15,2467.44
5/11/2022 16:30,2451.36
5/11/2022 16:45,2447.04
5/11/2022 17:00,2462.16
5/11/2022 17:15,2459.52
5/11/2022 17:30,2421.72
5/11/2022 17:45,2345.88
5/11/2022 18:00,2363.52
5/11/2022 18:15,2351.88
5/11/2022 18:30,2331
5/11/2022 18:45,2326.2
5/11/2022 19:00,2357.04
5/11/2022 19:15,2357.76
5/11/2022 19:30,2368.92
5/11/2022 19:45,2364.72
5/11/2022 20:00,2354.28
5/11/2022 20:15,2350.8
5/11/2022 20:30,2352.48
5/11/2022 20:45,2364.24
5/11/2022 21:00,2368.68
5/11/2022 21:15,2360.52
5/11/2022 21:30,2371.2
5/11/2022 21:45,2382.24
5/11/2022 22:00,2379.48
5/11/2022 22:15,2376.6
5/11/2022 22:30,2371.08
5/11/2022 22:45,2411.28
5/11/2022 23:00,2645.88
5/11/2022 23:15,2776.44
5/11/2022 23:30,2785.44
5/11/2022 23:45,2748.6
5/12/2022 0:00,2739.36
5/12/2022 0:15,2733
5/12/2022 0:30,2731.68
5/12/2022 0:45,2723.16
5/12/2022 1:00,2712.96
5/12/2022 1:15,2691.48
5/12/2022 1:30,2682.24
5/12/2022 1:45,2659.92
5/12/2022 2:00,2651.88
5/12/2022 2:15,2642.16
5/12/2022 2:30,2635.08
5/12/2022 2:45,2631.24
5/12/2022 3:00,2608.08
5/12/2022 3:15,2594.4
5/12/2022 3:30,2577.36
5/12/2022 3:45,2294.4
5/12/2022 4:00,2143.44
