Interval Beginning (EST),kWh
5/8/2022 0:00,117.36
5/8/2022 0:15,118.08
5/8/2022 0:30,117.72
5/8/2022 0:45,118.08
5/8/2022 1:00,118.08
5/8/2022 1:15,117.72
5/8/2022 1:30,117.36
5/8/2022 1:45,117.72
5/8/2022 2:00,117
5/8/2022 2:15,118.08
5/8/2022 2:30,117
5/8/2022 2:45,117.36
5/8/2022 3:00,117.36
5/8/2022 3:15,121.68
5/8/2022 3:30,122.4
5/8/2022 3:45,126.72
5/8/2022 4:00,124.56
5/8/2022 4:15,123.48
5/8/2022 4:30,124.2
5/8/2022 4:45,124.92
5/8/2022 5:00,126.72
5/8/2022 5:15,126.72
5/8/2022 5:30,128.16
5/8/2022 5:45,131.04
5/8/2022 6:00,128.88
5/8/2022 6:15,128.88
5/8/2022 6:30,127.44
5/8/2022 6:45,128.16
5/8/2022 7:00,126.36
5/8/2022 7:15,127.44
5/8/2022 7:30,127.08
5/8/2022 7:45,127.08
5/8/2022 8:00,127.44
5/8/2022 8:15,128.52
5/8/2022 8:30,130.32
5/8/2022 8:45,129.96
5/8/2022 9:00,129.24
5/8/2022 9:15,129.6
5/8/2022 9:30,129.96
5/8/2022 9:45,128.52
5/8/2022 10:00,128.16
5/8/2022 10:15,128.16
5/8/2022 10:30,128.88
5/8/2022 10:45,127.44
5/8/2022 11:00,126
5/8/2022 11:15,126
5/8/2022 11:30,126.36
5/8/2022 11:45,123.48
5/8/2022 12:00,124.2
5/8/2022 12:15,125.64
5/8/2022 12:30,126
5/8/2022 12:45,126.36
5/8/2022 13:00,124.92
5/8/2022 13:15,125.28
5/8/2022 13:30,124.92
5/8/2022 13:45,124.2
5/8/2022 14:00,124.92
5/8/2022 14:15,126
5/8/2022 14:30,124.2
5/8/2022 14:45,125.64
5/8/2022 15:00,125.28
5/8/2022 15:15,125.64
5/8/2022 15:30,124.56
5/8/2022 15:45,122.4
5/8/2022 16:00,122.76
5/8/2022 16:15,123.12
5/8/2022 16:30,123.84
5/8/2022 16:45,122.76
5/8/2022 17:00,123.48
5/8/2022 17:15,122.4
5/8/2022 17:30,121.68
5/8/2022 17:45,122.4
5/8/2022 18:00,121.32
5/8/2022 18:15,122.04
5/8/2022 18:30,122.4
5/8/2022 18:45,122.04
5/8/2022 19:00,123.12
5/8/2022 19:15,126.36
5/8/2022 19:30,127.08
5/8/2022 19:45,126.36
5/8/2022 20:00,125.64
5/8/2022 20:15,126.72
5/8/2022 20:30,126.36
5/8/2022 20:45,125.64
5/8/2022 21:00,125.64
5/8/2022 21:15,124.92
5/8/2022 21:30,123.48
5/8/2022 21:45,122.04
5/8/2022 22:00,122.04
5/8/2022 22:15,119.88
5/8/2022 22:30,120.96
5/8/2022 22:45,120.6
5/8/2022 23:00,120.24
5/8/2022 23:15,120.6
5/8/2022 23:30,120.24
5/8/2022 23:45,120.96
5/9/2022 0:00,119.88
5/9/2022 0:15,120.24
5/9/2022 0:30,122.04
5/9/2022 0:45,118.08
5/9/2022 1:00,119.88
5/9/2022 1:15,118.8
5/9/2022 1:30,119.88
5/9/2022 1:45,118.8
5/9/2022 2:00,118.8
5/9/2022 2:15,119.16
5/9/2022 2:30,118.44
5/9/2022 2:45,118.8
5/9/2022 3:00,122.04
5/9/2022 3:15,124.2
5/9/2022 3:30,122.76
5/9/2022 3:45,122.76
5/9/2022 4:00,125.64
5/9/2022 4:15,127.08
5/9/2022 4:30,125.64
5/9/2022 4:45,128.88
5/9/2022 5:00,128.88
5/9/2022 5:15,129.96
5/9/2022 5:30,129.6
5/9/2022 5:45,128.88
5/9/2022 6:00,131.76
5/9/2022 6:15,134.28
5/9/2022 6:30,137.52
5/9/2022 6:45,138.24
5/9/2022 7:00,140.4
5/9/2022 7:15,144
5/9/2022 7:30,143.64
5/9/2022 7:45,143.28
5/9/2022 8:00,143.28
5/9/2022 8:15,143.28
5/9/2022 8:30,144
5/9/2022 8:45,144.72
5/9/2022 9:00,144
5/9/2022 9:15,141.48
5/9/2022 9:30,144.36
5/9/2022 9:45,142.56
5/9/2022 10:00,142.2
5/9/2022 10:15,141.12
5/9/2022 10:30,141.12
5/9/2022 10:45,144.36
5/9/2022 11:00,142.56
5/9/2022 11:15,144
5/9/2022 11:30,142.92
5/9/2022 11:45,142.2
5/9/2022 12:00,141.84
5/9/2022 12:15,142.92
5/9/2022 12:30,144.36
5/9/2022 12:45,143.64
5/9/2022 13:00,143.28
5/9/2022 13:15,142.56
5/9/2022 13:30,142.92
5/9/2022 13:45,142.56
5/9/2022 14:00,141.48
5/9/2022 14:15,142.56
5/9/2022 14:30,141.84
5/9/2022 14:45,140.76
5/9/2022 15:00,138.24
5/9/2022 15:15,137.88
5/9/2022 15:30,136.08
5/9/2022 15:45,135.36
5/9/2022 16:00,133.92
5/9/2022 16:15,132.84
5/9/2022 16:30,129.96
5/9/2022 16:45,128.88
5/9/2022 17:00,128.52
5/9/2022 17:15,126.72
5/9/2022 17:30,124.92
5/9/2022 17:45,122.04
5/9/2022 18:00,123.12
5/9/2022 18:15,122.76
5/9/2022 18:30,122.4
5/9/2022 18:45,123.48
5/9/2022 19:00,125.64
5/9/2022 19:15,127.44
5/9/2022 19:30,128.16
5/9/2022 19:45,129.6
5/9/2022 20:00,129.96
5/9/2022 20:15,131.4
5/9/2022 20:30,131.04
5/9/2022 20:45,127.08
5/9/2022 21:00,127.08
5/9/2022 21:15,126.72
5/9/2022 21:30,126
5/9/2022 21:45,125.64
5/9/2022 22:00,126
5/9/2022 22:15,125.28
5/9/2022 22:30,123.84
5/9/2022 22:45,122.04
5/9/2022 23:00,122.04
5/9/2022 23:15,122.04
5/9/2022 23:30,121.32
5/9/2022 23:45,121.32
5/10/2022 0:00,121.32
5/10/2022 0:15,121.32
5/10/2022 0:30,121.32
5/10/2022 0:45,121.32
5/10/2022 1:00,120.96
5/10/2022 1:15,120.96
5/10/2022 1:30,121.32
5/10/2022 1:45,121.32
5/10/2022 2:00,120.96
5/10/2022 2:15,120.6
5/10/2022 2:30,121.68
5/10/2022 2:45,120.96
5/10/2022 3:00,120.96
5/10/2022 3:15,120.6
5/10/2022 3:30,128.52
5/10/2022 3:45,125.64
5/10/2022 4:00,129.96
5/10/2022 4:15,127.44
5/10/2022 4:30,129.6
5/10/2022 4:45,130.68
5/10/2022 5:00,132.48
5/10/2022 5:15,135
5/10/2022 5:30,133.92
5/10/2022 5:45,132.84
5/10/2022 6:00,135.72
5/10/2022 6:15,136.8
5/10/2022 6:30,140.4
5/10/2022 6:45,141.12
5/10/2022 7:00,142.56
5/10/2022 7:15,144
5/10/2022 7:30,143.64
5/10/2022 7:45,145.44
5/10/2022 8:00,145.08
5/10/2022 8:15,146.16
5/10/2022 8:30,145.44
5/10/2022 8:45,145.44
5/10/2022 9:00,144.36
5/10/2022 9:15,146.16
5/10/2022 9:30,145.08
5/10/2022 9:45,145.44
5/10/2022 10:00,145.08
5/10/2022 10:15,144.72
5/10/2022 10:30,144.36
5/10/2022 10:45,144.36
5/10/2022 11:00,143.64
5/10/2022 11:15,145.44
5/10/2022 11:30,143.64
5/10/2022 11:45,144
5/10/2022 12:00,144.36
5/10/2022 12:15,146.88
5/10/2022 12:30,146.16
5/10/2022 12:45,145.44
5/10/2022 13:00,143.28
5/10/2022 13:15,142.92
5/10/2022 13:30,142.56
5/10/2022 13:45,144
5/10/2022 14:00,144.72
5/10/2022 14:15,143.64
5/10/2022 14:30,142.56
5/10/2022 14:45,141.84
5/10/2022 15:00,143.64
5/10/2022 15:15,140.4
5/10/2022 15:30,139.32
5/10/2022 15:45,140.04
5/10/2022 16:00,135.72
5/10/2022 16:15,135
5/10/2022 16:30,133.56
5/10/2022 16:45,131.76
5/10/2022 17:00,131.04
5/10/2022 17:15,130.32
5/10/2022 17:30,129.24
5/10/2022 17:45,128.52
5/10/2022 18:00,127.08
5/10/2022 18:15,127.08
5/10/2022 18:30,128.88
5/10/2022 18:45,126.72
5/10/2022 19:00,126.72
5/10/2022 19:15,130.68
5/10/2022 19:30,130.68
5/10/2022 19:45,128.52
5/10/2022 20:00,128.88
5/10/2022 20:15,129.24
5/10/2022 20:30,127.8
5/10/2022 20:45,127.08
5/10/2022 21:00,125.64
5/10/2022 21:15,124.2
5/10/2022 21:30,124.92
5/10/2022 21:45,123.48
5/10/2022 22:00,123.12
5/10/2022 22:15,123.48
5/10/2022 22:30,122.4
5/10/2022 22:45,123.12
5/10/2022 23:00,122.76
5/10/2022 23:15,122.4
5/10/2022 23:30,122.76
5/10/2022 23:45,123.12
5/11/2022 0:00,122.04
5/11/2022 0:15,122.76
5/11/2022 0:30,123.12
5/11/2022 0:45,122.4
5/11/2022 1:00,123.48
5/11/2022 1:15,123.48
5/11/2022 1:30,122.4
5/11/2022 1:45,122.4
5/11/2022 2:00,122.04
5/11/2022 2:15,122.04
5/11/2022 2:30,122.04
5/11/2022 2:45,122.76
5/11/2022 3:00,122.04
